"","PN01770AM"
"","Producto bruto interno y demanda interna (índice 2007 = 100) - PBI"
Oct24,189.015297801315
Nov24,190.055398147607
Dic24,205.997040254343
Ene25,175.166506419558
Feb25,172.538148786504
Mar25,180.237978310441
Abr25,184.408217884042
May25,192.196579843804
Jun25,186.558284354047
Jul25,191.348258485481
Ago25,192.453607679855
Sep25,195.356042202986
Oct25,196.694490026355
Nov25,193.04044192398
Dic25,213.891197196504
Ene26,181.588595878518
Feb26,178.940279036959
Mar26,186.0303994273
Abr26,191.281757438811
May26,n.d.
Jun26,n.d.
